Point ID,y,c,gammadot,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,3.22318e-06,2185.86,0.116494,0.0035,0,5e-06,0.0035,0,0,0,0,1
1,6.75676e-07,-3.74417e-06,2067.16,0.116494,0.0035,6.75676e-07,5e-06,0.0035,0.00143593,3.82952e-08,0,0.00143593,1
2,1.35135e-06,0.000289841,1935.75,0.116495,0.0035,1.35135e-06,5e-06,0.0035,0.0027913,2.06466e-07,0,0.0027913,1
3,2.02703e-06,0.00670926,1752.4,0.116493,0.0035,2.02703e-06,5e-06,0.0035,0.00404978,2.1608e-07,0,0.00404978,1
4,2.7027e-06,0.0308243,1498.55,0.116485,0.0035,2.7027e-06,5e-06,0.0035,0.00515721,-1.45911e-07,0,0.00515721,1
5,3.37838e-06,0.06416,1230.32,0.11647,0.0035,3.37838e-06,5e-06,0.00350001,0.00607152,-2.97185e-07,0,0.00607152,1
6,4.05405e-06,0.08931,1011.63,0.116452,0.0035,4.05405e-06,5e-06,0.00350001,0.00681559,-1.03314e-07,0,0.00681559,1
7,4.72973e-06,0.106915,848.021,0.116437,0.0035,4.72973e-06,5e-06,0.00350001,0.00743514,2.06718e-08,0,0.00743514,1
8,5.40541e-06,0.120913,718.62,0.116425,0.0035,5.40541e-06,5e-06,0.00350001,0.00795933,3.17127e-08,0,0.00795933,1
9,6.08108e-06,0.132704,609.656,0.116416,0.0035,6.08108e-06,5e-06,0.00350001,0.00840468,1.9832e-08,0,0.00840468,1
10,6.75676e-06,0.143198,514.586,0.116408,0.0035,6.75676e-06,5e-06,0.00350001,0.00878201,1.30649e-08,0,0.00878201,1
11,7.43243e-06,0.152829,429.808,0.116403,0.0035,7.43243e-06,5e-06,0.00350001,0.00909915,1.0484e-08,0,0.00909915,1
12,8.10811e-06,0.162062,353.125,0.116399,0.0035,8.10811e-06,5e-06,0.00350001,0.00936211,8.46298e-09,0,0.00936211,1
13,8.78378e-06,0.171162,283.2,0.116397,0.0035,8.78378e-06,5e-06,0.00350001,0.00957577,6.73759e-09,0,0.00957577,1
14,9.45946e-06,0.180427,219.288,0.116395,0.0035,9.45946e-06,5e-06,0.00350002,0.00974436,5.40544e-09,0,0.00974436,1
15,1.01351e-05,0.190022,161.055,0.116394,0.0035,1.01351e-05,5e-06,0.00350002,0.00987176,4.41148e-09,0,0.00987176,1
16,1.08108e-05,0.200137,108.449,0.116393,0.0035,1.08108e-05,5e-06,0.00350002,0.00996175,3.75537e-09,0,0.00996175,1
17,1.14865e-05,0.210828,61.5848,0.116393,0.0035,1.14865e-05,5e-06,0.00350002,0.0100181,3.04049e-09,0,0.0100181,1
18,1.21622e-05,0.218998,29.8524,0.116393,0.0035,1.21622e-05,5e-06,0.00350002,0.0100448,1.37559e-09,0,0.0100448,1
19,1.28378e-05,0.218996,29.8588,0.116393,0.0035,1.28378e-05,5e-06,0.00350003,0.0100448,-1.00797e-09,0,0.0100448,1
20,1.35135e-05,0.210826,61.5982,0.116393,0.0035,1.35135e-05,5e-06,0.00350003,0.0100181,-2.68483e-09,0,0.0100181,1
21,1.41892e-05,0.200137,108.462,0.116393,0.0035,1.41892e-05,5e-06,0.00350003,0.00996172,-3.42237e-09,0,0.00996172,1
22,1.48649e-05,0.190023,161.068,0.116394,0.0035,1.48649e-05,5e-06,0.00350004,0.00987173,-4.11555e-09,0,0.00987173,1
23,1.55405e-05,0.18043,219.299,0.116395,0.0035,1.55405e-05,5e-06,0.00350004,0.00974432,-5.1583e-09,0,0.00974432,1
24,1.62162e-05,0.171167,283.209,0.116397,0.0035,1.62162e-05,5e-06,0.00350004,0.00957572,-6.55092e-09,0,0.00957572,1
25,1.68919e-05,0.162068,353.131,0.116399,0.0035,1.68919e-05,5e-06,0.00350004,0.00936205,-8.34476e-09,0,0.00936205,1
26,1.75676e-05,0.152835,429.81,0.116403,0.0035,1.75676e-05,5e-06,0.00350005,0.00909909,-1.04411e-08,0,0.00909909,1
27,1.82432e-05,0.143206,514.584,0.116408,0.0035,1.82432e-05,5e-06,0.00350005,0.00878195,-1.30988e-08,0,0.00878195,1
28,1.89189e-05,0.132712,609.649,0.116416,0.0035,1.89189e-05,5e-06,0.00350005,0.00840463,-1.99408e-08,0,0.00840463,1
29,1.95946e-05,0.120922,718.606,0.116425,0.0035,1.95946e-05,5e-06,0.00350006,0.00795929,-3.18954e-08,0,0.00795929,1
30,2.02703e-05,0.106925,847.999,0.116437,0.0035,2.02703e-05,5e-06,0.00350006,0.0074351,-2.09356e-08,0,0.0074351,1
