Point ID,y,c,gammadot,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,6.3162e-07,1132.91,0.0309289,0.0035,0,5e-06,0.0035,0,0,0,0,1
1,8.19672e-07,-8.05557e-07,1095.71,0.030929,0.0035,8.19672e-07,5e-06,0.0035,0.000913137,3.7419e-09,0,0.000913137,1
2,1.63934e-06,4.90438e-05,1055.66,0.0309293,0.0035,1.63934e-06,5e-06,0.0035,0.00179575,7.79048e-08,0,0.00179575,1
3,2.45902e-06,0.00274112,996.282,0.030929,0.0035,2.45902e-06,5e-06,0.0035,0.00264325,1.82623e-07,0,0.00264325,1
4,3.27869e-06,0.0193614,895.832,0.0309264,0.0035,3.27869e-06,5e-06,0.00350001,0.00342849,5.83309e-08,0,0.00342849,1
5,4.09836e-06,0.0511967,767.024,0.0309195,0.0035,4.09836e-06,5e-06,0.00350001,0.00411095,-1.19297e-07,0,0.00411095,1
6,4.91803e-06,0.0801426,650.042,0.0309097,0.0035,4.91803e-06,5e-06,0.00350001,0.00468443,-5.29966e-08,0,0.00468443,1
7,5.7377e-06,0.100303,562.245,0.0308997,0.0035,5.7377e-06,5e-06,0.00350001,0.00517505,5.22258e-08,0,0.00517505,1
8,6.55738e-06,0.116045,495.691,0.0308912,0.0035,6.55738e-06,5e-06,0.00350001,0.00560505,7.52727e-08,0,0.00560505,1
9,7.37705e-06,0.128944,441.735,0.030884,0.0035,7.37705e-06,5e-06,0.00350001,0.0059869,7.05557e-08,0,0.0059869,1
10,8.19672e-06,0.140057,396.112,0.030878,0.0035,8.19672e-06,5e-06,0.00350001,0.00632862,6.35417e-08,0,0.00632862,1
11,9.01639e-06,0.149785,356.473,0.0308729,0.0035,9.01639e-06,5e-06,0.00350002,0.00663581,5.78164e-08,0,0.00663581,1
12,9.83607e-06,0.158578,321.332,0.0308687,0.0035,9.83607e-06,5e-06,0.00350002,0.00691263,5.11341e-08,0,0.00691263,1
13,1.06557e-05,0.166651,289.67,0.0308652,0.0035,1.06557e-05,5e-06,0.00350002,0.00716227,4.39239e-08,0,0.00716227,1
14,1.14754e-05,0.174247,260.787,0.0308623,0.0035,1.14754e-05,5e-06,0.00350002,0.00738723,3.64104e-08,0,0.00738723,1
15,1.22951e-05,0.181487,234.186,0.0308599,0.0035,1.22951e-05,5e-06,0.00350003,0.00758956,2.89977e-08,0,0.00758956,1
16,1.31148e-05,0.188525,209.511,0.030858,0.0035,1.31148e-05,5e-06,0.00350003,0.00777095,2.17894e-08,0,0.00777095,1
17,1.39344e-05,0.195441,186.503,0.0308565,0.0035,1.39344e-05,5e-06,0.00350003,0.00793285,1.50202e-08,0,0.00793285,1
18,1.47541e-05,0.202348,164.975,0.0308553,0.0035,1.47541e-05,5e-06,0.00350003,0.00807654,8.82549e-09,0,0.00807654,1
19,1.55738e-05,0.209304,144.797,0.0308544,0.0035,1.55738e-05,5e-06,0.00350004,0.00820316,3.37555e-09,0,0.00820316,1
20,1.63934e-05,0.2164,125.881,0.0308537,0.0035,1.63934e-05,5e-06,0.00350004,0.00831379,-1.23391e-09,0,0.00831379,1
21,1.72131e-05,0.223677,108.176,0.0308532,0.0035,1.72131e-05,5e-06,0.00350005,0.00840943,-4.90451e-09,0,0.00840943,1
22,1.80328e-05,0.231204,91.6594,0.0308529,0.0035,1.80328e-05,5e-06,0.00350005,0.00849105,-7.60812e-09,0,0.00849105,1
23,1.88525e-05,0.239001,76.3297,0.0308528,0.0035,1.88525e-05,5e-06,0.00350005,0.00855962,-9.32713e-09,0,0.00855962,1
24,1.96721e-05,0.247102,62.2027,0.0308527,0.0035,1.96721e-05,5e-06,0.00350006,0.00861612,-1.0113e-08,0,0.00861612,1
25,2.04918e-05,0.255489,49.3021,0.0308528,0.0035,2.04918e-05,5e-06,0.00350006,0.00866155,-1.00314e-08,0,0.00866155,1
26,2.13115e-05,0.264141,37.6498,0.0308529,0.0035,2.13115e-05,5e-06,0.00350007,0.00869691,-9.20388e-09,0,0.00869691,1
27,2.21311e-05,0.272984,27.2566,0.030853,0.0035,2.21311e-05,5e-06,0.00350007,0.00872323,-7.75617e-09,0,0.00872323,1
28,2.29508e-05,0.281936,18.1119,0.0308531,0.0035,2.29508e-05,5e-06,0.00350008,0.00874157,-5.83557e-09,0,0.00874157,1
29,2.37705e-05,0.290875,10.1771,0.0308532,0.0035,2.37705e-05,5e-06,0.00350008,0.00875291,-3.60236e-09,0,0.00875291,1
30,2.45902e-05,0.297466,4.86074,0.0308532,0.0035,2.45902e-05,5e-06,0.00350009,0.00875823,-1.21275e-09,0,0.00875823,1
31,2.54098e-05,0.297466,4.86074,0.0308532,0.0035,2.54098e-05,5e-06,0.0035001,0.00875823,1.21275e-09,0,0.00875823,1
32,2.62295e-05,0.290875,10.1771,0.0308532,0.0035,2.62295e-05,5e-06,0.0035001,0.00875291,3.60236e-09,0,0.00875291,1
