Point ID,y,c,gammadot,J_0,J_1,J_2,J_Magnitude,p,x,y,z,Points_Magnitude,Sigma_0,Sigma_1,Sigma_2,Sigma_3,Sigma_4,Sigma_5,Sigma_6,Sigma_7,Sigma_8,Sigma_Magnitude,SigmaP_0,SigmaP_1,SigmaP_2,SigmaP_3,SigmaP_4,SigmaP_5,SigmaP_6,SigmaP_7,SigmaP_8,SigmaP_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,0.177288,23.7745,-0.00000316486,0.00000000857735,0,0.00000316487,6.13286,1.50552,0,0.000005,1.50552,-6.22221,0.0175436,0,0.0175436,-6.22203,0,0,0,-6.22177,10.7769,-0.000894377,0.00795534,0,0.00795534,-0.000715257,0,0,0,-0.000447189,0.0113175,0,0,0,0,1
1,0.0000018,0.177461,23.7115,-0.00000315964,0.00000000831487,0,0.00000315965,6.13286,1.50552,0.0000018,0.000005,1.50552,-6.22221,0.0175081,0,0.0175081,-6.22203,0,0,0,-6.22177,10.7769,-0.000894331,0.0079453,0,0.0079453,-0.00071523,0,0,0,-0.000447166,0.0113034,0.0000412035,8.58006E-11,0,0.0000412035,1
2,0.0000036,0.177634,23.6484,-0.00000315443,0.00000000805239,0,0.00000315444,6.13286,1.50552,0.0000036,0.000005,1.50552,-6.22221,0.0174727,0,0.0174727,-6.22203,0,0,0,-6.22176,10.7769,-0.000894286,0.00793525,0,0.00793525,-0.000715202,0,0,0,-0.000447143,0.0112893,0.0000824069,1.71601E-10,0,0.0000824069,1
3,0.0000054,0.177806,23.5854,-0.00000314921,0.00000000778991,0,0.00000314922,6.13286,1.50552,0.0000054,0.000005,1.50552,-6.22221,0.0174372,0,0.0174372,-6.22203,0,0,0,-6.22176,10.7769,-0.00089424,0.00792521,0,0.00792521,-0.000715175,0,0,0,-0.000447121,0.0112751,0.00012361,2.57402E-10,0,0.00012361,1
4,0.0000072,0.177979,23.5224,-0.00000314399,0.00000000752743,0,0.000003144,6.13286,1.50552,0.0000072,0.000005,1.50552,-6.22221,0.0174017,0,0.0174017,-6.22203,0,0,0,-6.22176,10.7769,-0.000894195,0.00791516,0,0.00791516,-0.000715148,0,0,0,-0.000447098,0.011261,0.000164814,3.43202E-10,0,0.000164814,1
5,0.000009,0.178152,23.4593,-0.00000313877,0.00000000726496,0,0.00000313878,6.13286,1.50552,0.000009,0.000005,1.50552,-6.22221,0.0173663,0,0.0173663,-6.22203,0,0,0,-6.22176,10.7769,-0.000894149,0.00790512,0,0.00790512,-0.000715121,0,0,0,-0.000447075,0.0112469,0.000206017,4.29003E-10,0,0.000206017,1
6,0.0000108,0.178325,23.3963,-0.00000313356,0.00000000700248,0,0.00000313356,6.13286,1.50552,0.0000108,0.000005,1.50552,-6.22221,0.0173308,0,0.0173308,-6.22203,0,0,0,-6.22176,10.7768,-0.000894103,0.00789507,0,0.00789507,-0.000715093,0,0,0,-0.000447052,0.0112328,0.000247221,5.14804E-10,0,0.000247221,1
7,0.0000126,0.178498,23.3333,-0.00000312834,0.00000000674,0,0.00000312835,6.13286,1.50552,0.0000126,0.000005,1.50552,-6.22221,0.0172953,0,0.0172953,-6.22203,0,0,0,-6.22176,10.7768,-0.000894058,0.00788502,0,0.00788502,-0.000715066,0,0,0,-0.000447029,0.0112186,0.000288424,6.00604E-10,0,0.000288424,1
8,0.0000144,0.17867,23.2702,-0.00000312312,0.00000000647752,0,0.00000312313,6.13286,1.50552,0.0000144,0.000005,1.50552,-6.22221,0.0172599,0,0.0172599,-6.22203,0,0,0,-6.22176,10.7768,-0.000894012,0.00787498,0,0.00787498,-0.000715039,0,0,0,-0.000447006,0.0112045,0.000329628,6.86405E-10,0,0.000329628,1
9,0.0000162,0.178843,23.2072,-0.0000031179,0.00000000621504,0,0.00000311791,6.13286,1.50552,0.0000162,0.000005,1.50552,-6.22221,0.0172244,0,0.0172244,-6.22203,0,0,0,-6.22176,10.7768,-0.000893967,0.00786493,0,0.00786493,-0.000715011,0,0,0,-0.000446984,0.0111904,0.000370831,7.72205E-10,0,0.000370831,1
10,0.000018,0.179016,23.1442,-0.00000311269,0.00000000595257,0,0.00000311269,6.13286,1.50552,0.000018,0.000005,1.50552,-6.22221,0.0171889,0,0.0171889,-6.22203,0,0,0,-6.22176,10.7768,-0.000893921,0.00785489,0,0.00785489,-0.000714984,0,0,0,-0.000446961,0.0111763,0.000412035,8.58006E-10,0,0.000412035,1
11,0.0000198,0.179189,23.0811,-0.00000310747,0.00000000569009,0,0.00000310748,6.13286,1.50552,0.0000198,0.000005,1.50552,-6.22221,0.0171535,0,0.0171535,-6.22203,0,0,0,-6.22176,10.7768,-0.000893876,0.00784484,0,0.00784484,-0.000714957,0,0,0,-0.000446938,0.0111621,0.000453238,9.43807E-10,0,0.000453238,1
12,0.0000216,0.179362,23.0181,-0.00000310225,0.00000000542761,0,0.00000310226,6.13286,1.50552,0.0000216,0.000005,1.50552,-6.22221,0.017118,0,0.017118,-6.22203,0,0,0,-6.22176,10.7768,-0.00089383,0.0078348,0,0.0078348,-0.00071493,0,0,0,-0.000446915,0.011148,0.000494441,0.00000000102961,0,0.000494441,1
13,0.0000234,0.179535,22.9551,-0.00000309704,0.00000000516513,0,0.00000309704,6.13286,1.50552,0.0000234,0.000005,1.50552,-6.22221,0.0170825,0,0.0170825,-6.22203,0,0,0,-6.22176,10.7768,-0.000893784,0.00782475,0,0.00782475,-0.000714902,0,0,0,-0.000446892,0.0111339,0.000535645,0.00000000111541,0,0.000535645,1
14,0.0000252,0.179707,22.892,-0.00000309182,0.00000000490266,0,0.00000309182,6.13286,1.50552,0.0000252,0.000005,1.50552,-6.22221,0.0170471,0,0.0170471,-6.22203,0,0,0,-6.22176,10.7768,-0.000893739,0.00781471,0,0.00781471,-0.000714875,0,0,0,-0.00044687,0.0111197,0.000576848,0.00000000120121,0,0.000576848,1
15,0.000027,0.17988,22.829,-0.0000030866,0.00000000464018,0,0.00000308661,6.13286,1.50552,0.000027,0.000005,1.50552,-6.22221,0.0170116,0,0.0170116,-6.22203,0,0,0,-6.22176,10.7768,-0.000893693,0.00780466,0,0.00780466,-0.000714848,0,0,0,-0.000446847,0.0111056,0.000618052,0.00000000128701,0,0.000618052,1
16,0.0000288,0.180053,22.766,-0.00000308138,0.0000000043777,0,0.00000308139,6.13286,1.50552,0.0000288,0.000005,1.50552,-6.22221,0.0169761,0,0.0169761,-6.22203,0,0,0,-6.22176,10.7768,-0.000893648,0.00779461,0,0.00779461,-0.00071482,0,0,0,-0.000446824,0.0110915,0.000659255,0.00000000137281,0,0.000659255,1
17,0.0000306,0.180226,22.7029,-0.00000307617,0.00000000411522,0,0.00000307617,6.13286,1.50552,0.0000306,0.000005,1.50552,-6.22221,0.0169407,0,0.0169407,-6.22203,0,0,0,-6.22176,10.7768,-0.000893602,0.00778457,0,0.00778457,-0.000714793,0,0,0,-0.000446801,0.0110774,0.000700459,0.00000000145861,0,0.000700459,1
18,0.0000324,0.180399,22.6399,-0.00000307095,0.00000000385274,0,0.00000307095,6.13286,1.50552,0.0000324,0.000005,1.50552,-6.22221,0.0169052,0,0.0169052,-6.22203,0,0,0,-6.22176,10.7768,-0.000893556,0.00777452,0,0.00777452,-0.000714766,0,0,0,-0.000446778,0.0110632,0.000741662,0.00000000154441,0,0.000741662,1
19,0.0000342,0.180571,22.5769,-0.00000306573,0.00000000359027,0,0.00000306574,6.13286,1.50552,0.0000342,0.000005,1.50552,-6.22221,0.0168697,0,0.0168697,-6.22203,0,0,0,-6.22176,10.7768,-0.000893511,0.00776448,0,0.00776448,-0.000714739,0,0,0,-0.000446756,0.0110491,0.000782866,0.00000000163021,0,0.000782866,1
20,0.000036,0.180744,22.5139,-0.00000306052,0.00000000332779,0,0.00000306052,6.13286,1.50552,0.000036,0.000005,1.50552,-6.22221,0.0168343,0,0.0168343,-6.22203,0,0,0,-6.22176,10.7768,-0.000893465,0.00775443,0,0.00775443,-0.000714711,0,0,0,-0.000446733,0.011035,0.000824069,0.00000000171601,0,0.000824069,1
21,0.0000378,0.180917,22.4508,-0.0000030553,0.00000000306531,0,0.0000030553,6.13286,1.50552,0.0000378,0.000005,1.50552,-6.22221,0.0167988,0,0.0167988,-6.22203,0,0,0,-6.22176,10.7768,-0.00089342,0.00774439,0,0.00774439,-0.000714684,0,0,0,-0.00044671,0.0110209,0.000865273,0.00000000180181,0,0.000865273,1
22,0.0000396,0.18109,22.3878,-0.00000305008,0.00000000280283,0,0.00000305008,6.13286,1.50552,0.0000396,0.000005,1.50552,-6.22221,0.0167633,0,0.0167633,-6.22203,0,0,0,-6.22176,10.7768,-0.000893374,0.00773434,0,0.00773434,-0.000714657,0,0,0,-0.000446687,0.0110067,0.000906476,0.00000000188761,0,0.000906476,1
23,0.0000414,0.181263,22.3248,-0.00000304486,0.00000000254036,0,0.00000304487,6.13286,1.50552,0.0000414,0.000005,1.50552,-6.22221,0.0167279,0,0.0167279,-6.22203,0,0,0,-6.22176,10.7768,-0.000893329,0.0077243,0,0.0077243,-0.000714629,0,0,0,-0.000446664,0.0109926,0.00094768,0.00000000197341,0,0.00094768,1
24,0.0000432,0.181435,22.2617,-0.00000303965,0.00000000227788,0,0.00000303965,6.13286,1.50552,0.0000432,0.000005,1.50552,-6.22221,0.0166924,0,0.0166924,-6.22203,0,0,0,-6.22176,10.7768,-0.000893283,0.00771425,0,0.00771425,-0.000714602,0,0,0,-0.000446641,0.0109785,0.000988883,0.00000000205921,0,0.000988883,1
25,0.000045,0.181608,22.1987,-0.00000303443,0.0000000020154,0,0.00000303443,6.13286,1.50552,0.000045,0.000005,1.50552,-6.22221,0.0166569,0,0.0166569,-6.22203,0,0,0,-6.22176,10.7768,-0.000893237,0.0077042,0,0.0077042,-0.000714575,0,0,0,-0.000446619,0.0109644,0.00103009,0.00000000214502,0,0.00103009,1
26,0.0000468,0.181781,22.1357,-0.00000302921,0.00000000175292,0,0.00000302921,6.13286,1.50552,0.0000468,0.000005,1.50552,-6.22221,0.0166215,0,0.0166215,-6.22203,0,0,0,-6.22176,10.7768,-0.000893192,0.00769416,0,0.00769416,-0.000714547,0,0,0,-0.000446596,0.0109503,0.00107129,0.00000000223082,0,0.00107129,1
27,0.0000486,0.181954,22.0726,-0.000003024,0.00000000149044,0,0.000003024,6.13286,1.50552,0.0000486,0.000005,1.50552,-6.22221,0.016586,0,0.016586,-6.22203,0,0,0,-6.22176,10.7768,-0.000893146,0.00768411,0,0.00768411,-0.00071452,0,0,0,-0.000446573,0.0109361,0.00111249,0.00000000231662,0,0.00111249,1
28,0.0000504,0.182131,22.0097,-0.00000301979,0.00000000127938,0,0.00000301979,6.13286,1.50552,0.0000504,0.000005,1.50552,-6.22221,0.0165507,0,0.0165507,-6.22203,0,0,0,-6.22176,10.7768,-0.000893117,0.00767416,0,0.00767416,-0.000714503,0,0,0,-0.000446558,0.0109221,0.001153,0.00000000237419,0,0.001153,1
29,0.0000522,0.182322,21.9473,-0.0000030191,0.00000000124824,0,0.0000030191,6.13286,1.50552,0.0000522,0.000005,1.50552,-6.22221,0.0165159,0,0.0165159,-6.22203,0,0,0,-6.22176,10.7768,-0.000893142,0.00766452,0,0.00766452,-0.000714524,0,0,0,-0.000446571,0.0109086,0.00119108,0.00000000233299,0,0.00119108,1
30,0.000054,0.182513,21.8849,-0.00000301841,0.00000000121711,0,0.00000301841,6.13286,1.50552,0.000054,0.000005,1.50552,-6.22221,0.0164811,0,0.0164811,-6.22203,0,0,0,-6.22176,10.7768,-0.000893168,0.00765489,0,0.00765489,-0.000714544,0,0,0,-0.000446584,0.0108951,0.00122915,0.00000000229179,0,0.00122915,1
31,0.0000558,0.182704,21.8225,-0.00000301773,0.00000000118597,0,0.00000301773,6.13286,1.50552,0.0000558,0.000005,1.50552,-6.22221,0.0164462,0,0.0164462,-6.22203,0,0,0,-6.22176,10.7768,-0.000893194,0.00764525,0,0.00764525,-0.000714564,0,0,0,-0.000446597,0.0108815,0.00126723,0.00000000225059,0,0.00126723,1
32,0.0000576,0.182895,21.7601,-0.00000301704,0.00000000115484,0,0.00000301704,6.13286,1.50552,0.0000576,0.000005,1.50552,-6.22221,0.0164114,0,0.0164114,-6.22203,0,0,0,-6.22176,10.7768,-0.00089322,0.00763561,0,0.00763561,-0.000714584,0,0,0,-0.00044661,0.010868,0.0013053,0.00000000220939,0,0.0013053,1
33,0.0000594,0.183086,21.6977,-0.00000301635,0.0000000011237,0,0.00000301635,6.13286,1.50552,0.0000594,0.000005,1.50552,-6.22221,0.0163766,0,0.0163766,-6.22203,0,0,0,-6.22176,10.7768,-0.000893246,0.00762598,0,0.00762598,-0.000714604,0,0,0,-0.000446623,0.0108544,0.00134338,0.00000000216818,0,0.00134338,1
34,0.0000612,0.183277,21.6353,-0.00000301567,0.00000000109257,0,0.00000301567,6.13286,1.50552,0.0000612,0.000005,1.50552,-6.22221,0.0163418,0,0.0163418,-6.22203,0,0,0,-6.22176,10.7768,-0.000893272,0.00761634,0,0.00761634,-0.000714624,0,0,0,-0.000446636,0.0108409,0.00138145,0.00000000212698,0,0.00138145,1
35,0.000063,0.183467,21.5728,-0.00000301498,0.00000000106143,0,0.00000301498,6.13286,1.50552,0.000063,0.000005,1.50552,-6.22221,0.016307,0,0.016307,-6.22203,0,0,0,-6.22176,10.7768,-0.000893297,0.0076067,0,0.0076067,-0.000714644,0,0,0,-0.000446649,0.0108274,0.00141952,0.00000000208578,0,0.00141952,1
36,0.0000648,0.183658,21.5104,-0.0000030143,0.0000000010303,0,0.0000030143,6.13286,1.50552,0.0000648,0.000005,1.50552,-6.22221,0.0162722,0,0.0162722,-6.22203,0,0,0,-6.22176,10.7768,-0.000893323,0.00759707,0,0.00759707,-0.000714664,0,0,0,-0.000446662,0.0108138,0.0014576,0.00000000204458,0,0.0014576,1
37,0.0000666,0.183849,21.448,-0.00000301361,9.99164E-10,0,0.00000301361,6.13286,1.50552,0.0000666,0.000005,1.50552,-6.22221,0.0162374,0,0.0162374,-6.22203,0,0,0,-6.22176,10.7768,-0.000893349,0.00758743,0,0.00758743,-0.000714684,0,0,0,-0.000446674,0.0108003,0.00149567,0.00000000200338,0,0.00149567,1
38,0.0000684,0.18404,21.3856,-0.00000301292,9.68029E-10,0,0.00000301292,6.13286,1.50552,0.0000684,0.000005,1.50552,-6.22221,0.0162026,0,0.0162026,-6.22203,0,0,0,-6.22176,10.7768,-0.000893375,0.00757779,0,0.00757779,-0.000714704,0,0,0,-0.000446687,0.0107868,0.00153375,0.00000000196217,0,0.00153375,1
39,0.0000702,0.184231,21.3232,-0.00000301224,9.36895E-10,0,0.00000301224,6.13286,1.50552,0.0000702,0.000005,1.50552,-6.22221,0.0161678,0,0.0161678,-6.22203,0,0,0,-6.22176,10.7768,-0.000893401,0.00756816,0,0.00756816,-0.000714724,0,0,0,-0.0004467,0.0107732,0.00157182,0.00000000192097,0,0.00157182,1
40,0.000072,0.184422,21.2608,-0.00000301155,9.0576E-10,0,0.00000301155,6.13286,1.50552,0.000072,0.000005,1.50552,-6.22221,0.016133,0,0.016133,-6.22203,0,0,0,-6.22176,10.7768,-0.000893427,0.00755852,0,0.00755852,-0.000714744,0,0,0,-0.000446713,0.0107597,0.0016099,0.00000000187977,0,0.0016099,1
41,0.0000738,0.184613,21.1984,-0.00000301086,8.74625E-10,0,0.00000301086,6.13286,1.50552,0.0000738,0.000005,1.50552,-6.22221,0.0160982,0,0.0160982,-6.22203,0,0,0,-6.22176,10.7768,-0.000893452,0.00754888,0,0.00754888,-0.000714765,0,0,0,-0.000446726,0.0107462,0.00164797,0.00000000183857,0,0.00164797,1
42,0.0000756,0.184804,21.136,-0.00000301018,8.4349E-10,0,0.00000301018,6.13286,1.50552,0.0000756,0.000005,1.50552,-6.22221,0.0160634,0,0.0160634,-6.22203,0,0,0,-6.22176,10.7768,-0.000893478,0.00753925,0,0.00753925,-0.000714785,0,0,0,-0.000446739,0.0107326,0.00168605,0.00000000179737,0,0.00168605,1
43,0.0000774,0.184995,21.0735,-0.00000300949,8.12356E-10,0,0.00000300949,6.13286,1.50552,0.0000774,0.000005,1.50552,-6.22221,0.0160286,0,0.0160286,-6.22203,0,0,0,-6.22176,10.7768,-0.000893504,0.00752961,0,0.00752961,-0.000714805,0,0,0,-0.000446752,0.0107191,0.00172412,0.00000000175616,0,0.00172412,1
44,0.0000792,0.185186,21.0111,-0.00000300881,7.81221E-10,0,0.00000300881,6.13286,1.50552,0.0000792,0.000005,1.50552,-6.22221,0.0159938,0,0.0159938,-6.22203,0,0,0,-6.22176,10.7768,-0.00089353,0.00751997,0,0.00751997,-0.000714825,0,0,0,-0.000446765,0.0107056,0.0017622,0.00000000171496,0,0.0017622,1
45,0.000081,0.185377,20.9487,-0.00000300812,7.50086E-10,0,0.00000300812,6.13286,1.50552,0.000081,0.000005,1.50552,-6.22221,0.015959,0,0.015959,-6.22203,0,0,0,-6.22176,10.7768,-0.000893556,0.00751034,0,0.00751034,-0.000714845,0,0,0,-0.000446778,0.010692,0.00180027,0.00000000167376,0,0.00180027,1
46,0.0000828,0.185568,20.8863,-0.00000300743,7.18952E-10,0,0.00000300743,6.13286,1.50552,0.0000828,0.000005,1.50552,-6.22221,0.0159241,0,0.0159241,-6.22203,0,0,0,-6.22176,10.7768,-0.000893582,0.0075007,0,0.0075007,-0.000714865,0,0,0,-0.000446791,0.0106785,0.00183835,0.00000000163256,0,0.00183835,1
47,0.0000846,0.185759,20.8239,-0.00000300675,6.87817E-10,0,0.00000300675,6.13286,1.50552,0.0000846,0.000005,1.50552,-6.22221,0.0158893,0,0.0158893,-6.22203,0,0,0,-6.22176,10.7768,-0.000893608,0.00749106,0,0.00749106,-0.000714885,0,0,0,-0.000446804,0.010665,0.00187642,0.00000000159136,0,0.00187642,1
