Point ID,y,c,gammadot,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,0.252571,25.7483,8.3021,1.50552,0,5e-06,1.50552,0,0,0,0,1
1,4.86486e-05,0.259234,23.5843,8.3021,1.50552,4.86486e-05,5e-06,1.50552,0.0011965,2.19443e-08,0,0.0011965,1
2,9.72973e-05,0.266559,21.4655,8.3021,1.50552,9.72973e-05,5e-06,1.50552,0.00229042,1.14933e-08,0,0.00229042,1
3,0.000145946,0.274513,19.3959,8.3021,1.50552,0.000145946,5e-06,1.50552,0.00328289,4.25896e-10,0,0.00328289,1
4,0.000194595,0.283276,17.3752,8.3021,1.50552,0.000194595,5e-06,1.50552,0.00417582,-5.40863e-09,0,0.00417582,1
5,0.000243243,0.292868,15.4064,8.3021,1.50552,0.000243243,5e-06,1.50552,0.00497162,-7.97324e-09,0,0.00497162,1
6,0.000291892,0.303562,13.4957,8.3021,1.50552,0.000291892,5e-06,1.50552,0.005673,-9.45246e-09,0,0.005673,1
7,0.000340541,0.315397,11.6513,8.3021,1.50552,0.000340541,5e-06,1.50552,0.006283,-1.02019e-08,0,0.006283,1
8,0.000389189,0.328756,9.88321,8.3021,1.50552,0.000389189,5e-06,1.50552,0.00680507,-7.99622e-09,0,0.00680507,1
9,0.000437838,0.343699,8.20433,8.3021,1.50552,0.000437838,5e-06,1.50552,0.00724323,-5.07655e-09,0,0.00724323,1
10,0.000486486,0.360733,6.63137,8.3021,1.50552,0.000486486,5e-06,1.50552,0.00760214,-2.31581e-09,0,0.00760214,1
11,0.000535135,0.379847,5.18533,8.3021,1.50552,0.000535135,5e-06,1.50552,0.00788744,-1.80852e-09,0,0.00788744,1
12,0.000583784,0.401487,3.89248,8.3021,1.50552,0.000583784,5e-06,1.50552,0.00810585,-1.6374e-09,0,0.00810585,1
13,0.000632432,0.425118,2.78053,8.3021,1.50552,0.000632432,5e-06,1.50552,0.00826553,-1.85159e-09,0,0.00826553,1
14,0.000681081,0.450439,1.8721,8.3021,1.50552,0.000681081,5e-06,1.50552,0.00837592,-1.81955e-09,0,0.00837592,1
15,0.00072973,0.475727,1.17438,8.3021,1.50552,0.00072973,5e-06,1.50552,0.00844736,-2.40011e-09,0,0.00844736,1
16,0.000778378,0.499764,0.671634,8.3021,1.50552,0.000778378,5e-06,1.50552,0.00848999,-3.00837e-09,0,0.00848999,1
17,0.000827027,0.520785,0.329318,8.3021,1.50552,0.000827027,5e-06,1.50552,0.00851262,-3.48049e-09,0,0.00851262,1
18,0.000875676,0.534698,0.141186,8.3021,1.50552,0.000875676,5e-06,1.50552,0.008522,-2.75896e-09,0,0.008522,1
19,0.000924324,0.534698,0.141186,8.3021,1.50552,0.000924324,5e-06,1.50552,0.008522,-9.50445e-10,0,0.008522,1
20,0.000972973,0.520785,0.329317,8.3021,1.50552,0.000972973,5e-06,1.50552,0.00851262,-7.15478e-10,0,0.00851262,1
21,0.00102162,0.499764,0.671633,8.3021,1.50552,0.00102162,5e-06,1.50552,0.00848999,-1.67674e-09,0,0.00848999,1
22,0.00107027,0.475728,1.17438,8.3021,1.50552,0.00107027,5e-06,1.50552,0.00844736,-2.23281e-09,0,0.00844736,1
23,0.00111892,0.450439,1.87209,8.3021,1.50552,0.00111892,5e-06,1.50552,0.00837592,-2.07271e-09,0,0.00837592,1
24,0.00116757,0.425119,2.78051,8.3021,1.50552,0.00116757,5e-06,1.50552,0.00826553,-1.11504e-09,0,0.00826553,1
25,0.00121622,0.401488,3.89247,8.3021,1.50552,0.00121622,5e-06,1.50552,0.00810585,-8.15332e-10,0,0.00810585,1
26,0.00126486,0.379847,5.18533,8.3021,1.50552,0.00126486,5e-06,1.50552,0.00788744,-6.91672e-10,0,0.00788744,1
27,0.00131351,0.360732,6.63138,8.3021,1.50552,0.00131351,5e-06,1.50552,0.00760214,-1.07729e-09,0,0.00760214,1
28,0.00136216,0.343699,8.20434,8.3021,1.50552,0.00136216,5e-06,1.50552,0.00724323,1.88861e-10,0,0.00724323,1
29,0.00141081,0.328757,9.88318,8.3021,1.50552,0.00141081,5e-06,1.50552,0.00680508,1.7236e-09,0,0.00680508,1
30,0.00145946,0.315399,11.6512,8.3021,1.50552,0.00145946,5e-06,1.50552,0.00628301,2.98308e-09,0,0.00628301,1
31,0.00150811,0.303564,13.4957,8.3021,1.50552,0.00150811,5e-06,1.50552,0.00567301,2.46621e-09,0,0.00567301,1
32,0.00155676,0.292868,15.4064,8.3021,1.50552,0.00155676,5e-06,1.50552,0.00497164,4.31708e-10,0,0.00497164,1
33,0.00160541,0.283272,17.3754,8.3021,1.50552,0.00160541,5e-06,1.50552,0.00417583,-3.83939e-09,0,0.00417583,1
34,0.00165405,0.274509,19.3961,8.3021,1.50552,0.00165405,5e-06,1.50552,0.00328288,-8.08851e-09,0,0.00328288,1
35,0.0017027,0.266558,21.4656,8.3021,1.50552,0.0017027,5e-06,1.50552,0.0022904,-1.54576e-08,0,0.0022904,1
36,0.00175135,0.259236,23.5841,8.3021,1.50552,0.00175135,5e-06,1.50552,0.00119649,-2.3638e-08,0,0.00119649,1
37,0.0018,0.252576,25.7477,8.3021,1.50552,0.0018,5e-06,1.50552,0,0,0,0,1
