Point ID,y,c,gammadot,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,-1.40833e-06,2010.63,0.107251,0.0035,0,5e-06,0.0035,0,0,0,0,1
1,6.75676e-07,2.04044e-06,1901.94,0.107251,0.0035,6.75676e-07,5e-06,0.0035,0.00132079,-2.19516e-09,0,0.00132079,1
2,1.35135e-06,-2.59549e-06,1793.26,0.107251,0.0035,1.35135e-06,5e-06,0.0035,0.0025682,-1.18003e-08,0,0.0025682,1
3,2.02703e-06,3.15017e-06,1684.57,0.107251,0.0035,2.02703e-06,5e-06,0.0035,0.00374224,-1.68974e-08,0,0.00374224,1
4,2.7027e-06,-2.36989e-06,1575.07,0.107251,0.0035,2.7027e-06,5e-06,0.0035,0.0048429,5.22099e-08,0,0.0048429,1
5,3.37838e-06,0.000547183,1451.41,0.107252,0.0035,3.37838e-06,5e-06,0.00350001,0.00586908,3.13656e-07,0,0.00586908,1
6,4.05405e-06,0.0101176,1274.42,0.107249,0.0035,4.05405e-06,5e-06,0.00350001,0.00680278,3.06503e-07,0,0.00680278,1
7,4.72973e-06,0.0442055,1031.25,0.107236,0.0035,4.72973e-06,5e-06,0.00350001,0.00758972,-2.24582e-07,0,0.00758972,1
8,5.40541e-06,0.0912375,782.862,0.107211,0.0035,5.40541e-06,5e-06,0.00350001,0.00819378,-4.29334e-07,0,0.00819378,1
9,6.08108e-06,0.126939,591.604,0.107183,0.0035,6.08108e-06,5e-06,0.00350001,0.00864431,-1.4155e-07,0,0.00864431,1
10,6.75676e-06,0.150567,459.97,0.10716,0.0035,6.75676e-06,5e-06,0.00350001,0.00899075,4.60764e-08,0,0.00899075,1
11,7.43243e-06,0.168261,364.239,0.107143,0.0035,7.43243e-06,5e-06,0.00350001,0.00926448,5.37299e-08,0,0.00926448,1
12,8.10811e-06,0.182585,288.509,0.107131,0.0035,8.10811e-06,5e-06,0.00350001,0.00948209,2.9214e-08,0,0.00948209,1
